Date,Cleveland Cliffs Inc,Nucor Corp,Steel Dynamics,TimkenSteel Corp,Ryerson Holding Corp
2015-01-02,7.03000020980835,49.0099983215332,19.899999618530273,37.209999084472656,9.600000381469727
2015-01-05,6.519999980926514,47.13999938964844,18.700000762939453,36.2599983215332,9.239999771118164
2015-01-06,6.309999942779541,46.459999084472656,18.15999984741211,34.61000061035156,8.800000190734863
2015-01-07,6.840000152587891,46.88999938964844,18.420000076293945,36.650001525878906,8.239999771118164
2015-01-08,7.329999923706055,48.029998779296875,19.059999465942383,36.54999923706055,8.220000267028809
2015-01-09,7.150000095367432,47.779998779296875,18.899999618530273,35.029998779296875,8.119999885559082
2015-01-12,7.699999809265137,46.0,18.170000076293945,33.0099983215332,7.400000095367432
2015-01-13,7.849999904632568,45.65999984741211,17.510000228881836,31.540000915527344,6.920000076293945
2015-01-14,7.789999961853027,44.40999984741211,17.25,30.389999389648438,7.210000038146973
2015-01-15,8.720000267028809,44.209999084472656,17.18000030517578,29.639999389648438,7.269999980926514
2015-01-16,8.899999618530273,44.41999816894531,17.350000381469727,30.1299991607666,7.46999979019165
2015-01-20,8.460000038146973,44.09000015258789,17.1299991607666,30.5,7.099999904632568
2015-01-21,9.069999694824219,44.0099983215332,17.299999237060547,30.3799991607666,6.860000133514404
2015-01-22,8.59000015258789,44.849998474121094,17.829999923706055,30.850000381469727,6.840000152587891
2015-01-23,7.489999771118164,43.79999923706055,17.020000457763672,29.520000457763672,6.699999809265137
2015-01-26,7.21999979019165,44.33000183105469,17.469999313354492,30.389999389648438,6.590000152587891
2015-01-27,6.800000190734863,44.81999969482422,17.670000076293945,29.829999923706055,6.650000095367432
2015-01-28,6.619999885559082,44.040000915527344,17.700000762939453,29.15999984741211,6.449999809265137
2015-01-29,6.110000133514404,43.72999954223633,16.93000030517578,27.950000762939453,6.289999961853027
2015-01-30,6.420000076293945,43.650001525878906,17.040000915527344,27.0,6.349999904632568
2015-02-02,6.96999979019165,44.209999084472656,17.139999389648438,27.3799991607666,6.150000095367432
2015-02-03,6.800000190734863,45.72999954223633,18.09000015258789,26.889999389648438,6.389999866485596
2015-02-04,6.309999942779541,45.5,18.010000228881836,27.030000686645508,6.070000171661377
2015-02-05,6.429999828338623,47.630001068115234,19.040000915527344,28.270000457763672,6.670000076293945
2015-02-06,6.269999980926514,48.27000045776367,19.010000228881836,29.1299991607666,6.869999885559082
2015-02-09,6.570000171661377,48.04999923706055,19.170000076293945,30.360000610351562,6.889999866485596
2015-02-10,6.670000076293945,47.810001373291016,19.110000610351562,29.899999618530273,6.880000114440918
2015-02-11,6.46999979019165,47.709999084472656,19.15999984741211,29.760000228881836,6.480000019073486
2015-02-12,6.650000095367432,48.349998474121094,19.81999969482422,30.520000457763672,6.650000095367432
2015-02-13,7.0,48.900001525878906,20.010000228881836,31.06999969482422,6.760000228881836
2015-02-17,6.889999866485596,48.68000030517578,19.719999313354492,30.989999771118164,6.679999828338623
2015-02-18,6.920000076293945,48.25,19.299999237060547,29.770000457763672,6.699999809265137
2015-02-19,6.909999847412109,48.13999938964844,19.239999771118164,30.469999313354492,6.920000076293945
2015-02-20,6.960000038146973,48.47999954223633,19.469999313354492,30.43000030517578,6.730000019073486
2015-02-23,6.650000095367432,48.0,19.479999542236328,29.190000534057617,6.429999828338623
2015-02-24,6.789999961853027,48.650001525878906,19.690000534057617,29.90999984741211,6.519999980926514
2015-02-25,6.760000228881836,47.709999084472656,18.899999618530273,29.479999542236328,6.440000057220459
2015-02-26,6.78000020980835,47.2599983215332,18.600000381469727,30.09000015258789,6.300000190734863
2015-02-27,6.840000152587891,47.029998779296875,18.219999313354492,30.059999465942383,6.079999923706055
2015-03-02,6.760000228881836,47.130001068115234,18.059999465942383,29.760000228881836,6.099999904632568
2015-03-03,6.71999979019165,47.150001525878906,18.110000610351562,29.040000915527344,6.610000133514404
2015-03-04,6.71999979019165,47.40999984741211,18.450000762939453,28.559999465942383,6.539999961853027
2015-03-05,6.630000114440918,47.63999938964844,18.760000228881836,28.510000228881836,6.380000114440918
2015-03-06,6.269999980926514,47.029998779296875,18.229999542236328,27.68000030517578,6.090000152587891
2015-03-09,5.789999961853027,47.189998626708984,17.8799991607666,27.200000762939453,6.320000171661377
2015-03-10,5.460000038146973,46.16999816894531,17.110000610351562,26.139999389648438,6.150000095367432
2015-03-11,5.210000038146973,46.47999954223633,17.610000610351562,26.6200008392334,6.110000133514404
2015-03-12,5.130000114440918,47.18000030517578,18.31999969482422,26.790000915527344,6.139999866485596
2015-03-13,4.940000057220459,46.790000915527344,18.280000686645508,26.049999237060547,5.730000019073486
2015-03-16,4.869999885559082,47.29999923706055,18.299999237060547,25.639999389648438,5.659999847412109
2015-03-17,4.539999961853027,47.40999984741211,18.6299991607666,25.90999984741211,5.900000095367432
2015-03-18,4.579999923706055,49.27000045776367,20.270000457763672,27.209999084472656,6.210000038146973
2015-03-19,4.309999942779541,46.099998474121094,19.770000457763672,26.690000534057617,6.050000190734863
2015-03-20,4.300000190734863,47.13999938964844,20.200000762939453,27.43000030517578,6.119999885559082
2015-03-23,4.809999942779541,47.63999938964844,20.399999618530273,27.639999389648438,6.909999847412109
2015-03-24,4.989999771118164,47.02000045776367,20.239999771118164,27.139999389648438,7.059999942779541
2015-03-25,5.070000171661377,46.7599983215332,20.34000015258789,26.579999923706055,7.260000228881836
2015-03-26,4.789999961853027,47.11000061035156,20.010000228881836,25.899999618530273,7.119999885559082
2015-03-27,4.730000019073486,46.5,19.5,26.0,7.320000171661377
