LabSampleNumber,CropYear,FarmID,Bin,FieldNumber,Variety,CollectionSampleType,SampleHarvestDate,SugarTestProcessedDate,SpecificGravity,BudEndSucroseGramPerLiter,BudEndGlucoseGramPerLiter,StemEndSucroseGramPerLiter,StemEndGlucoseGramPerLiter,FryTestType,FryColorScore,WeightedColorScore
2020120814,2020,16,BKR11,660100,Burbank,Out-of-Storage (Bin),12/8/2020,12/8/2020,1.079,0.42,0.12,0.27,1.31,Raw,6,10.98
2020120809,2020,16,BKR10,66110,Burbank,Out-of-Storage (Bin),12/8/2020,12/8/2020,1.078,0.49,0.12,0.36,2.18,Blanch,7,11.33
2020120809,2020,16,BKR10,66110,Burbank,Out-of-Storage (Bin),12/8/2020,12/8/2020,1.078,0.49,0.12,0.36,2.18,Raw,25,19.63
2019120508,2019,16,BKR01,660370,Burbank,Out-of-Storage (Bin),12/5/2019,12/5/2019,1.086,0.67,0.67,0.48,3.14,Blanch,41,30.36
2019120508,2019,16,BKR01,660370,Burbank,Out-of-Storage (Bin),12/5/2019,12/5/2019,1.086,0.67,0.67,0.48,3.14,Raw,49,39.07
2019092612,2019,16,BKR11,660340,Burbank,Off Harvest Line (Loading Conveyer),9/24/2019,9/26/2019,1.083,0.7,0.06,0.47,1.26,Blanch,11,16.19
2019092612,2019,16,BKR11,660340,Burbank,Off Harvest Line (Loading Conveyer),9/24/2019,9/26/2019,1.083,0.7,0.06,0.47,1.26,Raw,14,18.71
2019101024,2019,151,BRT05,82970,Burbank,Out-of-Storage (Bin),10/10/2019,10/10/2019,1.079,0.93,0.16,0.34,1.75,Blanch,25,22.06
2019101024,2019,151,BRT05,82970,Burbank,Out-of-Storage (Bin),10/10/2019,10/10/2019,1.079,0.93,0.16,0.34,1.75,Raw,51,37.33
2021052401,2020,151,BRT12,82720,Burbank,Out-of-Storage (Bin),5/24/2021,5/24/2021,0,0,0,0,0,Blanch,2,6.9
2021052401,2020,151,BRT12,82720,Burbank,Out-of-Storage (Bin),5/24/2021,5/24/2021,0,0,0,0,0,Raw,15,15.55
2020112333,2020,151,BRT08,82600,Burbank,Out-of-Storage (Bin),9/8/2020,11/23/2020,1.076,0.39,0.38,0.32,1.71,Blanch,8,10.37
2020112333,2020,151,BRT08,82600,Burbank,Out-of-Storage (Bin),9/8/2020,11/23/2020,1.076,0.39,0.38,0.32,1.71,Raw,26,22.16
2019102112,2019,151,BRT07,87970,Burbank,Out-of-Storage (Bin),10/21/2019,10/21/2019,1.088,0.62,0.13,0.3,1.27,Blanch,11,14.6
