Date,AQN,AY,BEP,CWEN,NEP,NPIFF,ORA,TRSWF,XEL
2018-01-02,11.119999885559082,21.139999389648438,18.609113693237305,19.399999618530273,43.310001373291016,18.610000610351562,64.70999908447266,10.682999610900879,47.810001373291016
2018-01-03,10.779999732971191,20.940000534057617,18.50786018371582,19.200000762939453,41.970001220703125,18.610000610351562,64.12999725341797,10.625,47.4900016784668
2018-01-04,10.65999984741211,21.450000762939453,18.268051147460938,18.899999618530273,41.22999954223633,18.5,64.7699966430664,10.652000427246094,47.119998931884766
2018-01-05,10.869999885559082,21.549999237060547,18.363975524902344,19.0,41.38999938964844,18.850000381469727,65.05000305175781,10.668000221252441,46.790000915527344
2018-01-08,10.890000343322754,21.709999084472656,18.257394790649414,19.200000762939453,41.97999954223633,18.700000762939453,65.25,10.654000282287598,47.13999938964844
2018-01-09,10.760000228881836,21.43000030517578,18.29469871520996,18.950000762939453,41.43000030517578,18.649999618530273,65.5999984741211,10.616000175476074,46.59000015258789
2018-01-10,10.65999984741211,21.209999084472656,17.836397171020508,18.600000381469727,40.31999969482422,18.329999923706055,65.38999938964844,10.461000442504883,46.130001068115234
2018-01-11,10.600000381469727,21.170000076293945,17.708499908447266,18.799999237060547,40.18000030517578,18.299999237060547,65.7300033569336,10.437000274658203,45.52000045776367
2018-01-12,10.579999923706055,21.06999969482422,17.735145568847656,18.700000762939453,40.310001373291016,18.219999313354492,66.06999969482422,10.381999969482422,45.150001525878906
2018-01-16,10.65999984741211,20.84000015258789,17.687183380126953,18.450000762939453,39.95000076293945,18.219999313354492,65.56999969482422,10.493000030517578,45.290000915527344
2018-01-17,10.899999618530273,20.969999313354492,17.900346755981445,18.399999618530273,39.97999954223633,18.489999771118164,66.87000274658203,10.420000076293945,45.689998626708984
2018-01-18,11.0600004196167,21.020000457763672,17.815080642700195,18.5,40.13999938964844,18.489999771118164,66.12999725341797,10.487000465393066,45.380001068115234
2018-01-19,11.010000228881836,21.25,17.69784164428711,18.549999237060547,41.27000045776367,18.6299991607666,66.58000183105469,10.487000465393066,45.130001068115234
2018-01-22,11.0,21.309999465942383,17.66586685180664,18.700000762939453,40.93000030517578,18.81999969482422,66.29000091552734,10.48900032043457,45.22999954223633
2018-01-23,11.039999961853027,21.389999389648438,17.788436889648438,19.149999618530273,41.86000061035156,18.81999969482422,66.37000274658203,10.369999885559082,45.720001220703125
2018-01-24,11.039999961853027,21.0,17.88968849182129,19.100000381469727,41.75,19.059999465942383,66.9800033569336,10.392000198364258,45.54999923706055
2018-01-25,10.979999542236328,20.979999542236328,17.85771369934082,19.25,42.02000045776367,19.010000228881836,69.02999877929688,10.522000312805176,46.0
2018-01-26,11.010000228881836,20.860000610351562,17.953636169433594,19.149999618530273,43.040000915527344,18.93000030517578,69.54000091552734,10.555999755859375,45.70000076293945
2018-01-29,10.859999656677246,20.979999542236328,17.80442237854004,18.850000381469727,43.81999969482422,18.8700008392334,69.83000183105469,10.449999809265137,44.849998474121094
2018-01-30,10.779999732971191,21.0,17.527311325073242,18.899999618530273,44.119998931884766,18.6200008392334,69.70999908447266,10.107999801635742,45.209999084472656
2018-01-31,10.850000381469727,21.079999923706055,17.820409774780273,18.899999618530273,44.90999984741211,18.600000381469727,70.08000183105469,10.050000190734863,45.63999938964844
2018-02-01,10.65999984741211,20.979999542236328,17.719158172607422,18.850000381469727,44.47999954223633,18.149999618530273,69.37999725341797,9.944999694824219,44.810001373291016
2018-02-02,10.430000305175781,20.670000076293945,17.132959365844727,18.450000762939453,42.900001525878906,17.709999084472656,68.01000213623047,9.600000381469727,44.47999954223633
2018-02-05,10.25,20.209999084472656,16.877164840698242,17.899999618530273,41.13999938964844,17.3799991607666,65.29000091552734,9.539999961853027,43.630001068115234
2018-02-06,10.270000457763672,20.31999969482422,17.04236602783203,17.149999618530273,41.54999923706055,17.420000076293945,65.68000030517578,9.583000183105469,42.72999954223633
2018-02-07,10.270000457763672,20.0,17.095657348632812,16.399999618530273,40.04999923706055,17.540000915527344,65.72000122070312,9.510000228881836,42.459999084472656
2018-02-08,10.100000381469727,19.690000534057617,17.063682556152344,16.799999237060547,38.709999084472656,17.31999969482422,64.86000061035156,9.49899959564209,42.439998626708984
2018-02-09,10.220000267028809,19.75,17.116973876953125,16.850000381469727,37.7599983215332,17.0,65.12999725341797,9.364999771118164,43.349998474121094
2018-02-12,10.199999809265137,19.84000015258789,17.10631561279297,16.549999237060547,39.400001525878906,17.360000610351562,64.4800033569336,9.286999702453613,43.7599983215332
2018-02-13,10.0600004196167,19.860000610351562,17.202238082885742,16.549999237060547,40.349998474121094,17.010000228881836,64.25,9.241999626159668,43.959999084472656
2018-02-14,10.09000015258789,19.860000610351562,17.10631561279297,16.299999237060547,40.560001373291016,17.010000228881836,64.30999755859375,9.239999771118164,43.220001220703125
2018-02-15,10.229999542236328,20.139999389648438,17.319477081298828,16.350000381469727,40.70000076293945,17.200000762939453,64.72000122070312,9.208999633789062,44.189998626708984
2018-02-16,10.270000457763672,20.399999618530273,17.319477081298828,16.649999618530273,40.790000915527344,17.40999984741211,64.97000122070312,9.208999633789062,44.68000030517578
