,Balance Sheet: Repos ($ Mil),Balance Sheet: Reverse Repos ($ Mil),Balance Sheet: Repos - Reverse Repos ($ Mil)
187,0.0,367740.0,-367740.0
188,0.0,406821.0,-406821.0
189,0.0,366457.25,-366457.25
190,13.0,292483.0,-292470.0
191,0.0,353109.0,-353109.0
192,0.0,305643.6,-305643.6
193,0.0,276642.0,-276642.0
194,0.0,243833.5,-243833.5
195,0.0,249155.75,-249155.75
196,25.8,250715.0,-250689.2
197,0.0,251203.25,-251203.25
198,0.0,257204.0,-257204.0
199,0.0,239864.2,-239864.2
200,0.0,230823.25,-230823.25
201,0.0,226036.8,-226036.8
202,0.0,232283.25,-232283.25
203,16.5,242135.0,-242118.5
204,0.0,259128.6,-259128.6
205,0.0,250255.5,-250255.5
206,0.0,239771.75,-239771.75
207,0.0,257955.25,-257955.25
208,13.0,265873.8,-265860.8
209,0.0,273230.0,-273230.0
210,0.0,291809.8,-291809.8
211,0.0,292653.25,-292653.25
212,45000.0,303133.75,-258133.75
213,190220.8,295646.4,-105425.60000000003
214,207792.75,288350.75,-80558.0
215,223148.75,264369.5,-41220.75
216,211375.0,274249.2,-62874.20000000001
217,160497.5,227481.0,-66983.5
218,307918.75,265759.25,42159.5
219,190520.6,333379.4,-142858.80000000002
220,167126.5,264245.25,-97118.75
221,132026.0,233173.0,-101147.0
222,12240.6,221608.6,-209368.0
223,0.0,213802.75,-213802.75
224,200.4,204939.2,-204738.80000000002
225,1014.75,193424.75,-192410.0
226,1000.0,194247.25,-193247.25
227,1000.0,195388.2,-194388.2
228,1000.0,209429.5,-208429.5
229,700.0,207014.0,-206314.0
230,200.0,237845.2,-237645.2
231,0.0,309901.75,-309901.75
232,11.75,502431.25,-502419.5
233,0.0,890891.6,-890891.6
234,0.0,1129327.5,-1129327.5
235,0.0,1318716.5,-1318716.5
